state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,arrivals,arrival_unit,data_source_status
Andhra Pradesh,Srikakulam,Pathapatnam APMC,Paddy(Common),Paddy,18/08/2026,2369.0,2500.0,2369.0,150.0,Tonnes,LIVE
Odisha,Mayurbhanja,Karanjia APMC,Paddy(Common),Other,18/08/2026,2369.0,2369.0,2369.0,150.0,Tonnes,LIVE
Uttar Pradesh,Saharanpur,Gangoh APMC,Paddy(Common),Other,18/08/2026,3500.0,4011.0,3849.07,150.0,Tonnes,LIVE
Gujarat,Dahod,Dahod APMC,Paddy(Common),Paddy fine,18/08/2026,2800.0,2850.0,2800.0,150.0,Tonnes,LIVE
Madhya Pradesh,Dindori,Dindori APMC,Paddy(Common),Dhan,18/08/2026,2200.0,2200.0,2200.0,150.0,Tonnes,LIVE
Andhra Pradesh,Srikakulam,Jalumuru APMC,Paddy(Common),1121,18/08/2026,2369.0,2369.0,2369.0,150.0,Tonnes,LIVE
Andhra Pradesh,Srikakulam,Kothabommali APMC,Paddy(Common),Paddy,18/08/2026,2800.0,2800.0,2800.0,150.0,Tonnes,LIVE
Telangana,Mahabubabad,Mahabubabad APMC,Paddy(Common),Common,18/08/2026,2990.0,3470.0,3239.0,150.0,Tonnes,LIVE
Andhra Pradesh,NTR,Tiruvuru APMC,Paddy(Common),Sona,18/08/2026,2700.0,2700.0,2700.0,150.0,Tonnes,LIVE
Uttar Pradesh,Pillibhit,Puranpur APMC,Paddy(Common),Other,18/08/2026,1920.0,1920.0,1920.0,150.0,Tonnes,LIVE
Uttar Pradesh,Bulandshahar,Siyana APMC,Paddy(Basmati),Basmati 1509,18/08/2026,1900.0,2000.0,1950.0,150.0,Tonnes,LIVE
Uttar Pradesh,Shahjahanpur,Tilhar APMC,Paddy(Common),Common,18/08/2026,1850.0,1850.0,1850.0,150.0,Tonnes,LIVE
Andhra Pradesh,West Godavari,Bhimavaram APMC,Paddy(Common),1001,18/08/2026,2360.0,2360.0,2360.0,150.0,Tonnes,LIVE
Uttar Pradesh,Bulandshahar,Gulavati APMC,Paddy(Common),Other,18/08/2026,3601.0,3601.0,3601.0,150.0,Tonnes,LIVE
Andhra Pradesh,Kakinada,Karapa APMC,Paddy(Common),1001,18/08/2026,2365.0,2369.0,2367.0,150.0,Tonnes,LIVE
Tamil Nadu,Villupuram,Villupuram APMC,Paddy(Common),Other,18/08/2026,2000.0,3204.0,2602.0,150.0,Tonnes,LIVE
Andhra Pradesh,Tirupathi,B.N.Kandriga APMC,Paddy(Common),Paddy,18/08/2026,2200.0,2200.0,2200.0,150.0,Tonnes,LIVE
Uttar Pradesh,Hardoi,Hardoi APMC,Paddy(Common),Common,18/08/2026,3100.0,3100.0,3100.0,150.0,Tonnes,LIVE
Telangana,Suryapet,Suryapeta APMC,Paddy(Common),I.R.-64,18/08/2026,1919.0,2306.0,2306.0,150.0,Tonnes,LIVE
Madhya Pradesh,Chhindwara,Chhindwara APMC,Paddy(Common),Dhan,18/08/2026,2225.0,2225.0,2225.0,150.0,Tonnes,LIVE
Karnataka,Koppal,Gangavathi APMC,Paddy(Common),I.R. 64,18/08/2026,1800.0,1880.0,1867.0,150.0,Tonnes,LIVE
Karnataka,Shivamogga,Shikaripura APMC,Paddy(Common),Paddy,18/08/2026,3724.0,3724.0,3724.0,150.0,Tonnes,LIVE
Uttar Pradesh,Hardoi,Shahabad(New Mandi) APMC,Paddy(Common),Common,18/08/2026,1800.0,1820.0,1812.45,150.0,Tonnes,LIVE
Andhra Pradesh,West Godavari,Akiveedu APMC,Paddy(Common),Paddy,18/08/2026,2300.0,2500.0,2369.0,150.0,Tonnes,LIVE
Karnataka,Haveri,Hanagal APMC,Paddy(Common),Paddy,18/08/2026,2200.0,2750.0,2500.0,150.0,Tonnes,LIVE
Andhra Pradesh,Prakasam,Ongole APMC,Paddy(Common),B P T,18/08/2026,2500.0,2500.0,2500.0,150.0,Tonnes,LIVE
Andhra Pradesh,YSR Kadapa,Mydukur APMC,Paddy(Common),Masuri,18/08/2026,2200.0,2400.0,2300.0,150.0,Tonnes,LIVE
West Bengal,Bankura,Bankura Sadar APMC,Paddy(Common),Common,18/08/2026,1950.0,2400.0,2369.0,150.0,Tonnes,LIVE
Uttar Pradesh,Shahjahanpur,Shahjahanpur APMC,Paddy(Common),Basmati,18/08/2026,2500.0,2500.0,2500.0,150.0,Tonnes,LIVE
Telangana,Jogulamba Gadwal,Alampur APMC,Paddy(Common),Common,18/08/2026,2000.0,2400.0,2300.0,150.0,Tonnes,LIVE
Andhra Pradesh,Visakhapatnam,Bhimunipatnam APMC,Paddy(Common),Samba Masuri,18/08/2026,2369.0,2369.0,2369.0,150.0,Tonnes,LIVE
Andhra Pradesh,Kakinada,Sampara (Kakinada Rural) APMC,Paddy(Common),1001,18/08/2026,2369.0,2389.0,2379.0,150.0,Tonnes,LIVE
Madhya Pradesh,Gwalior,Dabra APMC,Paddy(Common),Basmati 1509,18/08/2026,2800.0,4230.0,3500.0,150.0,Tonnes,LIVE
Madhya Pradesh,Vidisha,Vidisha APMC,Paddy(Common),Paddy,18/08/2026,4101.0,4202.0,4202.0,150.0,Tonnes,LIVE
Madhya Pradesh,Dindori,Dindori APMC,Paddy(Common),Other,18/08/2026,2050.0,2310.0,2310.0,150.0,Tonnes,LIVE
Chattisgarh,Balodabazar,Kasdol APMC,Paddy(Common),D.B.,18/08/2026,1800.0,1800.0,1800.0,150.0,Tonnes,LIVE
Tamil Nadu,Villupuram,Sangarapuram APMC,Paddy(Common),Other,18/08/2026,2298.0,2583.0,2440.5,150.0,Tonnes,LIVE
Tamil Nadu,Thanjavur,Budalur APMC,Paddy(Common),B P T,18/08/2026,1450.0,1990.0,1720.0,150.0,Tonnes,LIVE
Andhra Pradesh,Srikakulam,Ichapuram APMC,Paddy(Common),Sannalu,18/08/2026,2369.0,2369.0,2369.0,150.0,Tonnes,LIVE
Uttar Pradesh,Deoria,Devariya APMC,Paddy(Common),Common,18/08/2026,2400.0,2400.0,2400.0,150.0,Tonnes,LIVE
Maharashtra,Gadchiroli,Gadchiroli APMC,Paddy(Common),Other,18/08/2026,2580.0,3700.0,3060.0,150.0,Tonnes,LIVE
Maharashtra,Chandrapur,Sindevahi APMC,Paddy(Common),Other,18/08/2026,2600.0,2650.0,2600.0,150.0,Tonnes,LIVE
Chattisgarh,Raipur,Kharora APMC,Paddy(Common),Mahamaya,18/08/2026,2100.0,2100.0,2100.0,150.0,Tonnes,LIVE
Chattisgarh,Kanker,Lakhanpuri APMC,Paddy(Common),I.R. 64,18/08/2026,1900.0,1900.0,1900.0,150.0,Tonnes,LIVE
Chattisgarh,Kanker,Narharpur APMC,Paddy(Common),I.R. 64,18/08/2026,1900.0,1900.0,1900.0,150.0,Tonnes,LIVE
Andhra Pradesh,East Godavari,Mandapeta APMC,Paddy(Common),1001,18/08/2026,2369.0,2400.0,2389.0,150.0,Tonnes,LIVE
Uttar Pradesh,Ghaziabad,Hapur APMC,Paddy(Common),Other,18/08/2026,3500.0,3500.0,3500.0,150.0,Tonnes,LIVE
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Paddy(Common),Other,18/08/2026,2851.0,3921.0,3790.88,150.0,Tonnes,LIVE
Andhra Pradesh,Sri Sathya Sai,Dharmavaram APMC,Paddy(Common),B P T,18/08/2026,2000.0,2200.0,2100.0,150.0,Tonnes,LIVE
Assam,Kamrup,Sontoli APMC,Paddy(Common),Paddy,18/08/2026,1775.0,1775.0,1775.0,150.0,Tonnes,LIVE
Andhra Pradesh,Nandyal,Atmakur (Nandyal District) APMC,Paddy(Common),Sona,18/08/2026,2400.0,2400.0,2400.0,150.0,Tonnes,LIVE
Madhya Pradesh,Balaghat,Balaghat APMC,Paddy(Common),Paddy,18/08/2026,1800.0,1800.0,1800.0,150.0,Tonnes,LIVE
Andhra Pradesh,West Godavari,Narsapuram APMC,Paddy(Common),MTU-1001,18/08/2026,2445.0,2445.0,2445.0,150.0,Tonnes,LIVE
Tamil Nadu,Villupuram,Avalurpet APMC,Paddy(Common),Other,18/08/2026,2067.0,3259.0,2663.0,150.0,Tonnes,LIVE
Maharashtra,Gadchiroli,Armori(Desaiganj) APMC,Paddy(Common),Other,18/08/2026,2000.0,2300.0,2111.0,150.0,Tonnes,LIVE
