date,state,district,market,forecast_horizon,feature,feature_value,shap_value_rs,contribution_direction,interpretation
2024-01-08,Assam,Central,Central Mandi,7D,month,1.0,-17.36,DOWNWARD PRESSURE (DECREASE),month (1) contributed -17.36 ₹/Qtl toward model prediction
2024-01-08,Assam,Central,Central Mandi,7D,price_rolling_mean_7,3300.0,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3300.0) contributed -7.55 ₹/Qtl toward model prediction
2024-01-08,Assam,Central,Central Mandi,7D,price_rolling_std_7,nan,-1.97,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.97 ₹/Qtl toward model prediction
2024-01-08,Assam,Central,Central Mandi,7D,price_lag_14,nan,1.75,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.75 ₹/Qtl toward model prediction
2024-01-08,Bihar,Central,Central Mandi,7D,min_price,3203.5,-64.31,DOWNWARD PRESSURE (DECREASE),min_price (3203.5) contributed -64.31 ₹/Qtl toward model prediction
2024-01-08,Bihar,Central,Central Mandi,7D,month,1.0,-17.36,DOWNWARD PRESSURE (DECREASE),month (1) contributed -17.36 ₹/Qtl toward model prediction
2024-01-08,Bihar,Central,Central Mandi,7D,price_rolling_mean_7,3300.0,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3300.0) contributed -7.55 ₹/Qtl toward model prediction
2024-01-08,Bihar,Central,Central Mandi,7D,price_rolling_std_7,nan,-1.97,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.97 ₹/Qtl toward model prediction
2024-01-08,Bihar,Central,Central Mandi,7D,price_lag_14,nan,1.75,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.75 ₹/Qtl toward model prediction
2024-01-08,Chhattisgarh,Durg,Durg Mandi,7D,min_price,3203.5,-64.31,DOWNWARD PRESSURE (DECREASE),min_price (3203.5) contributed -64.31 ₹/Qtl toward model prediction
2024-01-08,Chhattisgarh,Durg,Durg Mandi,7D,month,1.0,-17.36,DOWNWARD PRESSURE (DECREASE),month (1) contributed -17.36 ₹/Qtl toward model prediction
2024-01-08,Chhattisgarh,Durg,Durg Mandi,7D,price_rolling_mean_7,3300.0,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3300.0) contributed -7.55 ₹/Qtl toward model prediction
2024-01-08,Chhattisgarh,Durg,Durg Mandi,7D,price_rolling_std_7,nan,-1.97,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.97 ₹/Qtl toward model prediction
2024-01-08,Chhattisgarh,Durg,Durg Mandi,7D,price_lag_14,nan,1.75,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.75 ₹/Qtl toward model prediction
2024-01-08,Chhattisgarh,Raipur,Raipur Mandi,7D,min_price,3203.5,-64.31,DOWNWARD PRESSURE (DECREASE),min_price (3203.5) contributed -64.31 ₹/Qtl toward model prediction
2024-01-08,Chhattisgarh,Raipur,Raipur Mandi,7D,month,1.0,-17.36,DOWNWARD PRESSURE (DECREASE),month (1) contributed -17.36 ₹/Qtl toward model prediction
2024-01-08,Chhattisgarh,Raipur,Raipur Mandi,7D,price_rolling_mean_7,3300.0,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3300.0) contributed -7.55 ₹/Qtl toward model prediction
2024-01-08,Chhattisgarh,Raipur,Raipur Mandi,7D,price_rolling_std_7,nan,-1.97,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.97 ₹/Qtl toward model prediction
2024-01-08,Chhattisgarh,Raipur,Raipur Mandi,7D,price_lag_14,nan,1.75,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.75 ₹/Qtl toward model prediction
2024-01-08,Gujarat,Central,Central Mandi,7D,min_price,3203.5,-64.31,DOWNWARD PRESSURE (DECREASE),min_price (3203.5) contributed -64.31 ₹/Qtl toward model prediction
2024-01-08,Gujarat,Central,Central Mandi,7D,month,1.0,-17.36,DOWNWARD PRESSURE (DECREASE),month (1) contributed -17.36 ₹/Qtl toward model prediction
2024-01-08,Gujarat,Central,Central Mandi,7D,price_rolling_mean_7,3300.0,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3300.0) contributed -7.55 ₹/Qtl toward model prediction
2024-01-08,Gujarat,Central,Central Mandi,7D,price_rolling_std_7,nan,-1.97,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.97 ₹/Qtl toward model prediction
2024-01-08,Gujarat,Central,Central Mandi,7D,price_lag_14,nan,1.75,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.75 ₹/Qtl toward model prediction
2024-01-08,Haryana,Central,Central Mandi,7D,min_price,3203.5,-64.31,DOWNWARD PRESSURE (DECREASE),min_price (3203.5) contributed -64.31 ₹/Qtl toward model prediction
2024-01-08,Haryana,Central,Central Mandi,7D,month,1.0,-17.36,DOWNWARD PRESSURE (DECREASE),month (1) contributed -17.36 ₹/Qtl toward model prediction
2024-01-08,Haryana,Central,Central Mandi,7D,price_rolling_mean_7,3300.0,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3300.0) contributed -7.55 ₹/Qtl toward model prediction
2024-01-08,Haryana,Central,Central Mandi,7D,price_rolling_std_7,nan,-1.97,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.97 ₹/Qtl toward model prediction
2024-01-08,Haryana,Central,Central Mandi,7D,price_lag_14,nan,1.75,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.75 ₹/Qtl toward model prediction
2024-01-15,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,min_price,3207.0,-61.89,DOWNWARD PRESSURE (DECREASE),min_price (3207.0) contributed -61.89 ₹/Qtl toward model prediction
2024-01-15,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,month,1.0,-18.11,DOWNWARD PRESSURE (DECREASE),month (1) contributed -18.11 ₹/Qtl toward model prediction
2024-01-15,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,price_rolling_mean_7,3301.75,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3301.75) contributed -7.55 ₹/Qtl toward model prediction
2024-01-15,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,price_rolling_std_7,2.47,-1.96,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (2.4748737341529163) contributed -1.96 ₹/Qtl toward model prediction
2024-01-15,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,price_lag_14,nan,1.93,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.93 ₹/Qtl toward model prediction
2024-01-15,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,min_price,3207.0,-61.89,DOWNWARD PRESSURE (DECREASE),min_price (3207.0) contributed -61.89 ₹/Qtl toward model prediction
2024-01-15,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,month,1.0,-18.11,DOWNWARD PRESSURE (DECREASE),month (1) contributed -18.11 ₹/Qtl toward model prediction
2024-01-15,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,price_rolling_mean_7,3301.75,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3301.75) contributed -7.55 ₹/Qtl toward model prediction
2024-01-15,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,price_rolling_std_7,2.47,-1.96,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (2.4748737341529163) contributed -1.96 ₹/Qtl toward model prediction
2024-01-15,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,price_lag_14,nan,1.93,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.93 ₹/Qtl toward model prediction
2024-01-15,Assam,Central,Central Mandi,7D,min_price,3207.0,-61.89,DOWNWARD PRESSURE (DECREASE),min_price (3207.0) contributed -61.89 ₹/Qtl toward model prediction
2024-01-15,Assam,Central,Central Mandi,7D,month,1.0,-18.11,DOWNWARD PRESSURE (DECREASE),month (1) contributed -18.11 ₹/Qtl toward model prediction
2024-01-15,Assam,Central,Central Mandi,7D,price_rolling_mean_7,3301.75,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3301.75) contributed -7.55 ₹/Qtl toward model prediction
2024-01-15,Assam,Central,Central Mandi,7D,price_rolling_std_7,2.47,-1.96,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (2.4748737341529163) contributed -1.96 ₹/Qtl toward model prediction
2024-01-15,Assam,Central,Central Mandi,7D,price_lag_14,nan,1.93,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.93 ₹/Qtl toward model prediction
2024-01-15,Bihar,Central,Central Mandi,7D,min_price,3207.0,-61.89,DOWNWARD PRESSURE (DECREASE),min_price (3207.0) contributed -61.89 ₹/Qtl toward model prediction
2024-01-15,Bihar,Central,Central Mandi,7D,month,1.0,-18.11,DOWNWARD PRESSURE (DECREASE),month (1) contributed -18.11 ₹/Qtl toward model prediction
2024-01-15,Bihar,Central,Central Mandi,7D,price_rolling_mean_7,3301.75,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3301.75) contributed -7.55 ₹/Qtl toward model prediction
2024-01-15,Bihar,Central,Central Mandi,7D,price_rolling_std_7,2.47,-1.96,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (2.4748737341529163) contributed -1.96 ₹/Qtl toward model prediction
2024-01-15,Bihar,Central,Central Mandi,7D,price_lag_14,nan,1.93,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.93 ₹/Qtl toward model prediction
2024-01-15,Chhattisgarh,Durg,Durg Mandi,7D,min_price,3207.0,-61.89,DOWNWARD PRESSURE (DECREASE),min_price (3207.0) contributed -61.89 ₹/Qtl toward model prediction
2024-01-15,Chhattisgarh,Durg,Durg Mandi,7D,month,1.0,-18.11,DOWNWARD PRESSURE (DECREASE),month (1) contributed -18.11 ₹/Qtl toward model prediction
2024-01-15,Chhattisgarh,Durg,Durg Mandi,7D,price_rolling_mean_7,3301.75,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3301.75) contributed -7.55 ₹/Qtl toward model prediction
2024-01-15,Chhattisgarh,Durg,Durg Mandi,7D,price_rolling_std_7,2.47,-1.96,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (2.4748737341529163) contributed -1.96 ₹/Qtl toward model prediction
2024-01-15,Chhattisgarh,Durg,Durg Mandi,7D,price_lag_14,nan,1.93,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.93 ₹/Qtl toward model prediction
2024-01-15,Chhattisgarh,Raipur,Raipur Mandi,7D,min_price,3207.0,-61.89,DOWNWARD PRESSURE (DECREASE),min_price (3207.0) contributed -61.89 ₹/Qtl toward model prediction
2024-01-15,Chhattisgarh,Raipur,Raipur Mandi,7D,month,1.0,-18.11,DOWNWARD PRESSURE (DECREASE),month (1) contributed -18.11 ₹/Qtl toward model prediction
2024-01-15,Chhattisgarh,Raipur,Raipur Mandi,7D,price_rolling_mean_7,3301.75,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3301.75) contributed -7.55 ₹/Qtl toward model prediction
2024-01-15,Chhattisgarh,Raipur,Raipur Mandi,7D,price_rolling_std_7,2.47,-1.96,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (2.4748737341529163) contributed -1.96 ₹/Qtl toward model prediction
2024-01-15,Chhattisgarh,Raipur,Raipur Mandi,7D,price_lag_14,nan,1.93,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.93 ₹/Qtl toward model prediction
2024-01-15,Gujarat,Central,Central Mandi,7D,min_price,3207.0,-61.89,DOWNWARD PRESSURE (DECREASE),min_price (3207.0) contributed -61.89 ₹/Qtl toward model prediction
2024-01-15,Gujarat,Central,Central Mandi,7D,month,1.0,-18.11,DOWNWARD PRESSURE (DECREASE),month (1) contributed -18.11 ₹/Qtl toward model prediction
2024-01-15,Gujarat,Central,Central Mandi,7D,price_rolling_mean_7,3301.75,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3301.75) contributed -7.55 ₹/Qtl toward model prediction
2024-01-15,Gujarat,Central,Central Mandi,7D,price_rolling_std_7,2.47,-1.96,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (2.4748737341529163) contributed -1.96 ₹/Qtl toward model prediction
2024-01-15,Gujarat,Central,Central Mandi,7D,price_lag_14,nan,1.93,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.93 ₹/Qtl toward model prediction
2024-01-15,Haryana,Central,Central Mandi,7D,min_price,3207.0,-61.89,DOWNWARD PRESSURE (DECREASE),min_price (3207.0) contributed -61.89 ₹/Qtl toward model prediction
2024-01-15,Haryana,Central,Central Mandi,7D,month,1.0,-18.11,DOWNWARD PRESSURE (DECREASE),month (1) contributed -18.11 ₹/Qtl toward model prediction
2024-01-15,Haryana,Central,Central Mandi,7D,price_rolling_mean_7,3301.75,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3301.75) contributed -7.55 ₹/Qtl toward model prediction
2024-01-15,Haryana,Central,Central Mandi,7D,price_rolling_std_7,2.47,-1.96,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (2.4748737341529163) contributed -1.96 ₹/Qtl toward model prediction
2024-01-15,Haryana,Central,Central Mandi,7D,price_lag_14,nan,1.93,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.93 ₹/Qtl toward model prediction
2024-01-22,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,min_price,3210.5,-61.4,DOWNWARD PRESSURE (DECREASE),min_price (3210.5) contributed -61.40 ₹/Qtl toward model prediction
2024-01-22,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,month,1.0,-17.92,DOWNWARD PRESSURE (DECREASE),month (1) contributed -17.92 ₹/Qtl toward model prediction
2024-01-22,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,price_rolling_mean_7,3303.5,-7.11,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3303.5) contributed -7.11 ₹/Qtl toward model prediction
2024-01-22,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,price_lag_14,nan,1.93,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.93 ₹/Qtl toward model prediction
2024-01-22,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,arrival_rolling_mean_7,385.0,-0.7,DOWNWARD PRESSURE (DECREASE),arrival_rolling_mean_7 (385.0) contributed -0.70 ₹/Qtl toward model prediction
2024-01-22,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,min_price,3210.5,-61.4,DOWNWARD PRESSURE (DECREASE),min_price (3210.5) contributed -61.40 ₹/Qtl toward model prediction
2024-01-22,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,month,1.0,-17.92,DOWNWARD PRESSURE (DECREASE),month (1) contributed -17.92 ₹/Qtl toward model prediction
2024-01-22,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,price_rolling_mean_7,3303.5,-7.11,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3303.5) contributed -7.11 ₹/Qtl toward model prediction
2024-01-22,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,price_lag_14,nan,1.93,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.93 ₹/Qtl toward model prediction
2024-01-22,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,arrival_rolling_mean_7,385.0,-0.7,DOWNWARD PRESSURE (DECREASE),arrival_rolling_mean_7 (385.0) contributed -0.70 ₹/Qtl toward model prediction
2024-01-22,Assam,Central,Central Mandi,7D,min_price,3210.5,-61.4,DOWNWARD PRESSURE (DECREASE),min_price (3210.5) contributed -61.40 ₹/Qtl toward model prediction
2024-01-22,Assam,Central,Central Mandi,7D,month,1.0,-17.92,DOWNWARD PRESSURE (DECREASE),month (1) contributed -17.92 ₹/Qtl toward model prediction
2024-01-22,Assam,Central,Central Mandi,7D,price_rolling_mean_7,3303.5,-7.11,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3303.5) contributed -7.11 ₹/Qtl toward model prediction
2024-01-22,Assam,Central,Central Mandi,7D,price_lag_14,nan,1.93,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.93 ₹/Qtl toward model prediction
2024-01-22,Assam,Central,Central Mandi,7D,arrival_rolling_mean_7,385.0,-0.7,DOWNWARD PRESSURE (DECREASE),arrival_rolling_mean_7 (385.0) contributed -0.70 ₹/Qtl toward model prediction
2024-01-22,Bihar,Central,Central Mandi,7D,min_price,3210.5,-61.4,DOWNWARD PRESSURE (DECREASE),min_price (3210.5) contributed -61.40 ₹/Qtl toward model prediction
2024-01-22,Bihar,Central,Central Mandi,7D,month,1.0,-17.92,DOWNWARD PRESSURE (DECREASE),month (1) contributed -17.92 ₹/Qtl toward model prediction
2024-01-22,Bihar,Central,Central Mandi,7D,price_rolling_mean_7,3303.5,-7.11,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3303.5) contributed -7.11 ₹/Qtl toward model prediction
2024-01-22,Bihar,Central,Central Mandi,7D,price_lag_14,nan,1.93,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.93 ₹/Qtl toward model prediction
2024-01-22,Bihar,Central,Central Mandi,7D,arrival_rolling_mean_7,385.0,-0.7,DOWNWARD PRESSURE (DECREASE),arrival_rolling_mean_7 (385.0) contributed -0.70 ₹/Qtl toward model prediction
